mood,tags,track_name,artist,url
happy,bright,Arms Tonite,Mother Mother,https://www.last.fm/music/Mother+Mother/_/Arms+Tonite
happy,bright,Alcohol-Free,TWICE,https://www.last.fm/music/TWICE/_/Alcohol-Free
happy,cheerful,Happy Up Here,Röyksopp,https://www.last.fm/music/R%C3%B6yksopp/_/Happy+Up+Here
happy,cheerful,Heart Out,The 1975,https://www.last.fm/music/The+1975/_/Heart+Out
happy,joyful,The Illest Villains,Madvillain,https://www.last.fm/music/Madvillain/_/The+Illest+Villains
happy,joyful,Nancy From Now On,Father John Misty,https://www.last.fm/music/Father+John+Misty/_/Nancy+From+Now+On
happy,playful,Redbone,Childish Gambino,https://www.last.fm/music/Childish+Gambino/_/Redbone
happy,playful,Don't Stop Me Now - Remastered 2011,Queen,https://www.last.fm/music/Queen/_/Don%27t+Stop+Me+Now+-+Remastered+2011
peaceful,calm,we can't be friends (wait for your love),Ariana Grande,https://www.last.fm/music/Ariana+Grande/_/we+can%27t+be+friends+(wait+for+your+love)
peaceful,instrumental,BIRDS OF A FEATHER,Billie Eilish,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER
